complaint,category,urgency
There are no lights on the Green Park bypass stretch and two accidents happened there this week. appreciate your help.,roads_transport,high
"Hello sir, garbage has been piling up at the Sector 11 market for four weeks and now blocks the main entrance. hoping for a permanent fix this time.",sanitation,high
Submitting this complaint to inform that the piepline in Sector 11 is very old and rusty adn the water tastes metallic. Kindly treat it as important.,water_supply,medium
Heavy waterlogging on the Rajiv Nagar underpass traps vehicles every time it rains. kindly treat this as an emergency.,roads_transport,high
I wish to report that after last night's storm the wires in Jawahar Ward got tangled and one is touching a metal gate. Kindly treat this as an emergency.,electricity,high
please note a broken pole in Jawahar Ward is leaning towards the houses and can come down any moment. We have complained earlier as well.,electricity,high
The fogging vehicle has not visited Dev Nagar this season at all.,sanitation,medium
"Hi, please share the escalation process if a complaint from Jawahar Ward is not resolved. The same thing happened last year as well. thanks in advance.",water_supply,low
sir requesting a shed outside Panchsheel Nagar centre for people waiting in queue,ration_aadhar,low
The drain in Sector 5 is flowing very slowly adn needs desilting before the rains.,sanitation,medium
construction debris has been lying on the Sector 4 roadside for 5 weeks. Would appreciate a quick response.,sanitation,medium
"Hi, buses on the Vivek Vihar route are always late and the stops are in poor condition. Please inform at your convenience.",roads_transport,medium
a small dump has formed near the Sector 14 bus stop as there is no bin there. Koi sunwai nahi ho rahi.,sanitation,medium
please note there are no lights on the Sector 4 bypass stretch and two accidents happened there this week even after so many complaints. This needs attention today itself.,roads_transport,high
just want to say that a small leakage in the Krishna Colony main line has been reported twice but not repaired. would appreciate a quick response.,water_supply,medium
Expired medicines were given to patients at the Civil Lines centre. Please send someone immediately.,healthcare,high
Just want to say that requesting a shed over the waiting area outside the Bharat Nagar centre. kindly guide me.,healthcare,low
The supply to the dialysis unit near Ward 18 keeps failing in the middle of treatment. I am ready to show the spot to your team any time.,electricity,high
"We are really fed up, the staff at the Ashok Vihar health centre is rude and dismissive with patients who ask questions. Kindly forward this to the right department if it is not yours.",healthcare,medium
the garbage vehicle skips our lane in Tilak Ward about three days a week honestly speaking. requesting urgent intervention.,sanitation,medium
pls note no lady doctor available at Station Road centre on most days honestly speaking,healthcare,medium
KINDLY NOTE THAT THE LABOUR ROOM IN THE WARD 7 HOSPITAL IS DIRTY AND TWO WOMEN DEVELOPED INFECTIONS AFTER DELIVERY. I HAVE ATTACHED NOTHING BUT CAN SHARE PHOTOS IF NEEDED. WE REQUEST IMMEDIATE ACTION BEFORE SOMETHING BAD HAPPENS.,healthcare,high
"hello sir, a deep pothole on the Kisan Chowk main road caused a serious accident yesterday evening. please do not delay this further.",roads_transport,high
requesting an SMS alert facility for supply timings in Nehru Colony like always. I am a regular taxpayer of this ward,water_supply,low
"Look, requesting road name boards at the lane entries in Bapu Nagar. kindly look into the matter.",roads_transport,low
Requesting a tariff booklet or rate chart for households in Indira Colony. Thanks in advance.,electricity,low
This is to inform the concerned department that please share the procedure for getting a medical fitness certificate in Rajiv Nagar. I have attached nothing but can share photos if needed. Kindly look into the matter.,healthcare,low
"we are really fed up, there is no lady doctor available at the Bank Colony centre on most days.",healthcare,medium
"sir ji, we filed a complaint about the Anand Vihar transformer humming loudly and nobody has come yet. I checked with the neighbours before writing this. Kripya jaldi karwa dijiye.",electricity,medium
"Requesting an awareness session on electrical safety at the Shiv Colony community hall. The same thing happened last year as well. No hurry, whenever possible.",electricity,low
The railway crossing gate near Ashok Vihar is often left unmanned and people cross recklessly. plz do not delay this furthre.,roads_transport,high
Just want to say that a snake bite case from Bapu Nagar was turned away as no antivenom was available. please do not delay this further.,healthcare,high
a sewer line has broken right beside drinking water pipe in Sector 9,water_supply,high
"Respected sir, power has been out in Tilak Ward for six days and an old couple on the ground floor is dependent on an oxygen concentrator. Requesting the department to act.",electricity,high
a snake bite case from Kisan Chowk was turned away as no antivenom was available,healthcare,high
"please dhyan dijiye, the entire Tilak Ward area has had no supply tab se last night and even the paani pumps have stopped. Puri colony pareshan hai.",electricity,high
Requesting a notice board at teh Old Market office showing the scheduled maintenance days honsetly speaking. This was also discussed in our last residents meeting. Thanks in advance.,electricity,low
"Look, street lights along the Bapu Nagar stretch are working only on one side. Please share a complaint number so I can follow up. Please let us know the action taken",roads_transport,medium
I wish to report that please tell me the documents needed for a temporary connection during a function in Housing Board Colony like always. I am ready to show the spot to your team any time,electricity,low
the fogging vehicle has not visited Ashok Vihar this season at all again n again. I have attached nothing but can share photos if needed,sanitation,medium
Maggots and rats have spread from the uncollected garbage in Anand Vihar into nearby houses like always. The same thing happened last year as well.,sanitation,high
The school bus route through Jawahar Ward passes a collapsed culvert with no barricade. i am ready to show the spot to your team any time.,roads_transport,high
Just want to say that our entire block in MG Road is buying water from private tankers because supply stopped completely. This needs attention today itself.,water_supply,high
I would like to bring to your notice that please share the list of specialists visiting the Ward 7 centre and on which days. Awaiting your reply.,healthcare,low
"Namaste sir, please share the helpline for reporting overcharging by autos in New Basti. Requesting the department to act.",roads_transport,low
Kindly note that a pole in Ward 3 is tilted and needs straightening before the next storm. Requesting teh department to act.,electricity,medium
"Supply in Teachers Colony stops midway whenever there is a power cut and never resumes that day. no hurry, whenever possible.",water_supply,medium
just want to say that requesting extended OPD hours at the Sun City clinic for people who work in the day and nobody listens. I am available on my registered mobile number for any verification.,healthcare,low
my meter in Kisan Chowk has been faulty for 2 weeks and readings are clearly wrong,electricity,medium
please note used syringes were found lying in the open in the Civil Lines hospital compound. i am ready to show the spot to your team any time.,healthcare,high
supply in New Basti stops midway whenever a power cut n never resumes that day. I have already spoken to local office once. kindly look into the matter.,water_supply,medium
"Sir ji, the children in our lane is bedridden in Ward 21 and biometric verification is impossible, ration has stopped completely and nobody listens. Kripya jaldi karwa dijiye.",ration_aadhar,high
"Hello sir, a snake bite case from Rajiv Nagar was turned away as no antivenom was available again and again. i am ready to show the spot to your team any time.",healthcare,high
pls share toll free number for ration related queries for Tilak Ward. appreciate your help.,ration_aadhar,low
This is to inform the concerned department that the dealer in Indira Colony behaves rudely with people who ask for the register honestly speaking. I have already spoken to teh local office once. Kindly treat it as important.,ration_aadhar,medium
"Bahut pareshani ho rahi hai, requesting a feedback or suggestion box at the Dev Nagar health centre. I have attached nothing but can share photos if needed. Kripya ek baar dekh lijiye.",healthcare,low
pls note we filed a complaint about Tilak Ward transformer humming loudly n nobody has come yet to be very frank,electricity,medium
please note a dead animal has been lying near the Sun City dump for fifteen days and the smell is unbearable.,sanitation,high
please note please share the garbage collection timings for Jawahar Ward. please inform at your convenience.,sanitation,low
"Respected sir, please share teh proecdure for getting a medical fitness certificate in Sector 4 again and again.",healthcare,low
please note please share the timings of the Jawahar Ward electricity office counter. we request immediate action before something bad happens.,electricity,low
"We are really fed up, the pressure in Dev Nagar is so low that watar does not reach the first floor. Requesting urgent intervention.",water_supply,medium
"Respected sir, requesting a camp for Aadhaar updates in the Green Park school for parents to be very frank. I can be contacted in the evening after work hours. Thanks in advance.",ration_aadhar,low
"namaste sir, the pressure in Sector 14 is so low that water does not reach the first floor honestly speaking",water_supply,medium
Street lights along the Sector 4 stretch are working only on one side,roads_transport,medium
The school in Milan Vihar has had no paani for 5 days and children are being sent home even after so many complaints. Kripya ek baar dekh lijiye.,water_supply,high
Water supply to the health centre in Rose Garden has been cut off and they cannot run the ward. Please send someone immediately.,water_supply,high
pls note buses on Sector 5 route are always late n stops are in poor condition. please arrange a solution soon.,roads_transport,medium
Just want to say that a small dump has formed near the Dev Nagar bus stop as there is no bin there.,sanitation,medium
"Namaste sir, current is coming in our taps in New Basti, it seems there is some earthing fault in the line. Kripya jaldi karwa dijiye.",electricity,high
I wish to report that the garbage vehicle skips our lane in Gandhi Nagar about three days a week to be very frank. I have already spoken to the local office once. This has been going on for a while now.,sanitation,medium
"Respected sir, teh meter box in our Bank Colony building started smoking and we had to shut everything down. Kindly look into teh matter.",electricity,high
"look, the water in New Basti is slightly muddy for the first few minutes every day. I can be contacted in the evening after work hours.",water_supply,medium
there is no lady doctor available at Gandhi Nagar centre on most days like always. kindly look into the matter.,healthcare,medium
please share the procedure for getting a medical fitness certificate in Teachers Colony. I have already spoken to the local office once. Kripya jaldi karwa dijiye.,healthcare,low
"hello sir, I need a duplicate copy of my last three bills for my Gandhi Nagar address.",electricity,low
just want to say that requesting a water quality test report for the supply given to MG Road even after so many complaints. I am writing on behalf of a few families in the lane.,water_supply,low
"Hi, cattle waste is not being cleared from the Anand Vihar road near the dairy honestly speaking.",sanitation,medium
our line in Milan Vihar was disconnected by mistake even though the bill was paid last week.,electricity,medium
I would like to bring to your notice that the tap water in New Basti smells strongly of chemicals since yesterday to be very frank. Someone can get seriously hurt.,water_supply,high
"I wish to report that the streetlight timer in Rajiv Nagar is set wrong, lights stay on all day and go off at night. We have complained earlier as well.",electricity,medium
"Hi, teh drain in Civil Lines is open in one stretch and smells very bad in the eveinng. Please let us know teh action taken",sanitation,medium
"Respected sir, please share the working days and timings of the Aadhaar centre in Station Road. I can be contacted in the evening after work hours. Kindly treat it as important",ration_aadhar,low
pleae note a deep pothole on teh Lajpat Nagar main road caused a serious accident yetserday evening.,roads_transport,high
"We are really fed up, the school bus route through Railway Quarters passes a collapsed culvert with no barricade even after so many complaints. This was also discussed in ourr last residents meeting",roads_transport,high
"hello sir, I want to know the load sanctioned on my connection in Civil Lines. thank you.",electricity,low
"Look, please share the updated timetable for buses passing through Civil Lines. I am a regular taxpayer of this ward. appreciate your help.",roads_transport,low
"We are really fed up, my new card application from Gandhi Nagar has been in process for four months. I am a regular taxpayer of this ward.",ration_aadhar,medium
"we are really fed up, our card in Vivek Vihar shows a member who left the household years ago.",ration_aadhar,medium
stray dogs gather at the Teachers Colony garbage point and chase people on scooters. Please let us know the action taken.,sanitation,medium
sir dealer in Old Market gives short weight n does not allow us to check on scale,ration_aadhar,medium
Requesting a repair estimate for shifting my water line inside the plot in Sector 9. I am available on my regsitered mobile number for any verification. Thank you.,water_supply,low
Submitting this complaint to inform that my elderly aunt got a shock from a loose wire near the Nehru Colony bus stop yesterday evening. I am ready to show the spot to your team any time.,electricity,high
the oxygen cylinder at the Vivek Vihar centre was empty when my neighbour was brought in gasping. Kripya jaldi karwa dijiye.,healthcare,high
There is no footpath along the Rose Garden market road so people walk on the carriageway. I have already spoken to the local office once. Kindly treat this as an emergency.,roads_transport,medium
It is requested to note that a deep pothole on the Gandhi Nagar main road caused a serious accident yesterday evening. Requesting urgent intervention,roads_transport,high
I wish to report that the voltage in Indira Colony is so low that neither the fan nor the motor runs properly. Please send someone immediately.,electricity,medium
"Hi, the biometirc of an elderly person in Sector 4 never matches and teh shop refuses any alternative. Kindly guide me.",ration_aadhar,high
the Ward 7 shop does not give sugar n oil portion regularly. someone can get seriously hurt.,ration_aadhar,medium
Kindly note that pleasee share details of the parking charges applicable in the Vivek Vihar market.,roads_transport,low
I would like to bring to your notice that the school bus route through Dev Nagar passes a collapsed culvert with no barricade even after so many complaints. This needs attention today itself.,roads_transport,high
This is to inform the concerned department that I want to know if a subsidised pass is available for students travelling from Sector 5. Please do not delay this further.,roads_transport,low
Mosquitoes and flies have increased a lot in Kisan Chowk due to poor cleaning even after so many complaints. Thank you.,sanitation,medium
It is requested to note that the ration shop in Vivek Vihar opens only for two hours and closes without notice. Many residents of the area feel the same way. Kindly treat this as an emergency.,ration_aadhar,medium
"hello sir, medical waste has been dumped in the open plot in Rajiv Nagar and children play right there honestly speaking.",sanitation,high
I would like to volunteer for a plantation n cleaning drive in Dev Nagar,sanitation,low
requesting a reflective board at the Ward 7 turn for night visibility. awaiting your reply.,roads_transport,low
Water supply to the health centre in Vivek Vihar has been cut off and they cannot run the ward honestly speaking. Requesting urgent intervention.,water_supply,high
An open manhole in Patel Nagar has no cover and a child nearly fell into it last evening. Kripya jaldi karwa dijiye.,sanitation,high
pls share list of items n quantities available at Sector 4 ration shop,ration_aadhar,low
Kindly note that cattle waste is not being cleared from the Housing Board Colony road near the dairy. The same thing happened last year as well.,sanitation,medium
"Hi, the Vivek Vihar shop does not display the stock and rate board as required. Please let us know the action taken",ration_aadhar,medium
the traffic at the Bharat Nagar crossing is unmanaged during school hours,roads_transport,medium
"hello sir, the one way rule at Sector 9 is not followed and there is no enforcement.",roads_transport,medium
"Look, no electricity in Indira Colony for 18 hours and teh local health centre's backup has also failed. This needs attention today itself.",electricity,high
"Bahut pareshani ho rahi hai, please tell me how to check the status of my correction application submitted at Sector 14. Please share a complaint number so I can follow up. Koi sunwai nahi ho rahi.",ration_aadhar,low
I wish to report that requesting a notice board at the Bank Colony office showing the scheduled maintenance days. I am a regular taxpayer of this ward. Kindly guide me.,electricity,low
just want to say that please share the fare chart for auto rickshaws operating from Civil Lines. this needs attention today itself.,roads_transport,low
